Name,Start,End,Hours,Hours formatted,Amount USD,Unpaid break start,Unpaid break end,Unpaid breaks,Unpaid breaks formatted
Nguyen Thi Lan,"Sunday, May 12th 2024, 2:37 PM","Sunday, May 12th 2024, 2:37 PM",0,0:00,0,-,-,0,0:00
Nguyen Thi Lan,"Wednesday, May 15th 2024, 2:32 PM","Wednesday, May 15th 2024, 7:21 PM",4.81,4:48,45.695,"Wednesday, May 15th 2024, 4:15 PM","Wednesday, May 15th 2024, 4:45 PM",0.5,0:30
Nguyen Thi Lan,"Sunday, May 19th 2024, 9:42 AM","Sunday, May 19th 2024, 2:29 PM",4.78,4:46,45.41,-,-,0,0:00
Nguyen Thi Lan,"Wednesday, May 22nd 2024, 2:26 PM","Wednesday, May 22nd 2024, 7:05 PM",4.66,4:39,44.27,"Wednesday, May 22nd 2024, 4:00 PM","Wednesday, May 22nd 2024, 4:30 PM",0.5,0:30
Nguyen Thi Lan,"Thursday, May 23rd 2024, 9:39 AM","Thursday, May 23rd 2024, 12:05 PM",2.42,2:25,22.99,-,-,0,0:00
Isabella M. Garcia,"Wednesday, May 15th 2024, 12:46 PM","Wednesday, May 15th 2024, 3:50 PM",3.06,3:03,36.72,"Wednesday, May 15th 2024, 2:00 PM","Wednesday, May 15th 2024, 2:30 PM",0.5,0:30
Isabella M. Garcia,"Thursday, May 16th 2024, 2:12 PM","Thursday, May 16th 2024, 7:18 PM",5.09,5:05,61.08,"Thursday, May 16th 2024, 4:15 PM","Thursday, May 16th 2024, 4:45 PM",0.5,0:30
Isabella M. Garcia,"Friday, May 17th 2024, 9:37 AM","Friday, May 17th 2024, 4:01 PM",6.39,6:23,76.68,"Friday, May 17th 2024, 11:45 AM","Friday, May 17th 2024, 12:15 PM",0.5,0:30
Isabella M. Garcia,"Sunday, May 19th 2024, 2:37 PM","Monday, May 20th 2024, 10:08 AM",19.53,19:31,234.36,-,-,0,0:00
Isabella M. Garcia,"Monday, May 20th 2024, 10:09 AM","Monday, May 20th 2024, 2:36 PM",4.45,4:27,53.4,-,-,0,0:00
Isabella M. Garcia,"Tuesday, May 21st 2024, 2:37 PM","Tuesday, May 21st 2024, 7:03 PM",4.44,4:26,53.28,"Tuesday, May 21st 2024, 4:00 PM","Tuesday, May 21st 2024, 4:30 PM",0.5,0:30
Isabella M. Garcia,"Wednesday, May 22nd 2024, 9:51 AM","Wednesday, May 22nd 2024, 2:35 PM",4.73,4:43,56.76,-,-,0,0:00
Isabella M. Garcia,"Thursday, May 23rd 2024, 9:56 AM","Thursday, May 23rd 2024, 3:26 PM",5.51,5:30,66.12,"Thursday, May 23rd 2024, 11:30 AM","Thursday, May 23rd 2024, 12:00 PM",0.5,0:30
Benjamin Harris,"Sunday, May 12th 2024, 2:37 PM","Sunday, May 12th 2024, 2:37 PM",0,0:00,0,-,-,0,0:00
Benjamin Harris,"Thursday, May 16th 2024, 2:38 PM","Friday, May 17th 2024, 11:13 AM",8.59,8:35,85.9,-,-,0,0:00
Benjamin Harris,"Friday, May 17th 2024, 11:13 AM","Friday, May 17th 2024, 2:59 PM",3.77,3:46,37.7,-,-,0,0:00
Benjamin Harris,"Sunday, May 19th 2024, 2:29 PM","Sunday, May 19th 2024, 7:02 PM",4.55,4:32,45.5,"Sunday, May 19th 2024, 4:00 PM","Sunday, May 19th 2024, 4:30 PM",0.5,0:30
Benjamin Harris,"Wednesday, May 15th 2024, 2:46 PM","Wednesday, May 15th 2024, 7:07 PM",4.36,4:21,43.6,"Wednesday, May 15th 2024, 4:15 PM","Wednesday, May 15th 2024, 4:45 PM",0.5,0:30
Benjamin Harris,"Sunday, May 19th 2024, 9:32 AM","Sunday, May 19th 2024, 1:59 PM",4.46,4:27,44.6,-,-,0,0:00
Benjamin Harris,"Monday, May 20th 2024, 1:31 PM","Monday, May 20th 2024, 5:58 PM",4.45,4:27,44.5,"Monday, May 20th 2024, 3:00 PM","Monday, May 20th 2024, 3:30 PM",0.5,0:30
Benjamin Harris,"Wednesday, May 22nd 2024, 2:20 PM","Wednesday, May 22nd 2024, 7:00 PM",4.67,4:40,46.7,"Wednesday, May 22nd 2024, 4:00 PM","Wednesday, May 22nd 2024, 4:30 PM",0.5,0:30
Benjamin Harris,"Thursday, May 23rd 2024, 2:34 PM","Thursday, May 23rd 2024, 7:00 PM",4.43,4:25,44.3,"Thursday, May 23rd 2024, 4:00 PM","Thursday, May 23rd 2024, 4:30 PM",0.5,0:30
Ethan,"Sunday, May 12th 2024, 2:36 PM","Sunday, May 12th 2024, 6:07 PM",3.52,3:31,31.68,"Sunday, May 12th 2024, 4:00 PM","Sunday, May 12th 2024, 4:30 PM",0.5,0:30
Ethan,"Wednesday, May 15th 2024, 9:41 AM","Thursday, May 16th 2024, 2:21 PM",7.68,7:40,69.12,-,-,0,0:00
Ethan,"Thursday, May 16th 2024, 2:21 PM","Thursday, May 16th 2024, 7:01 PM",4.66,4:39,41.94,"Thursday, May 16th 2024, 4:15 PM","Thursday, May 16th 2024, 4:45 PM",0.5,0:30
Ethan,"Friday, May 17th 2024, 9:38 AM","Friday, May 17th 2024, 4:02 PM",6.4,6:24,57.6,"Friday, May 17th 2024, 11:45 AM","Friday, May 17th 2024, 12:15 PM",0.5,0:30
Ethan,"Sunday, May 19th 2024, 2:31 PM","Sunday, May 19th 2024, 6:53 PM",4.37,4:22,39.33,"Sunday, May 19th 2024, 4:00 PM","Sunday, May 19th 2024, 4:30 PM",0.5,0:30
Ethan,"Monday, May 20th 2024, 9:41 AM","Monday, May 20th 2024, 2:36 PM",4.91,4:54,44.19,-,-,0,0:00
Ethan,"Tuesday, May 21st 2024, 2:30 PM","Tuesday, May 21st 2024, 6:54 PM",4.4,4:24,39.6,"Tuesday, May 21st 2024, 4:00 PM","Tuesday, May 21st 2024, 4:30 PM",0.5,0:30
Ethan,"Wednesday, May 22nd 2024, 10:30 AM","Wednesday, May 22nd 2024, 2:26 PM",3.95,3:57,35.55,-,-,0,0:00
Ethan,"Thursday, May 23rd 2024, 9:29 AM","Thursday, May 23rd 2024, 2:35 PM",5.11,5:06,45.99,"Thursday, May 23rd 2024, 11:15 AM","Thursday, May 23rd 2024, 11:45 AM",0.5,0:30
